headword,transliteration,meaning_en,part_of_speech
अवघूर्ण्,avaghūrṇ,p. -GUrRamAna) to move to and fro,mfn.
अवघृष्,avaghṛṣ,ind.p. -Gfzya,n.
अवघोटित,avaghoṭita,"Guw), (said of a palanquin) covered or, cushioned (?) MBh",mfn.
अवघ्रा,avaghrā,Imper. 2. pl. -jiGrata,mfn.
अवच,avaca,lower,
अवचक्ष्,avacakṣ,A1. -c/azwe (impf. -cakzata,ind.
अवचत्नुक,avacatnuka,"?) , N",m.
अवचन,avacana,absence of a special assertion Ka1tyS3r,n.
अवचन्द्रमस,avacandramasa,disappearance of the moon S3Br.,n.
अवचर्,avacar,"3. pl. -caranti) to come down from (abl.) RV. x, 59, 9 : Caus. (Pot. -cArayet",m.
अवचि,avaci,"p. -cinvat MBh. iii, 13151",m.
अवचि,avaci,3. pl. -cinvanti) to examine MBh. iii,
अवचीरविचीरक,avacīravicīraka,dilapidation,mfn.
अवचूड,avacūḍa,"the pendent crest or streamer of a standard, S3is3",m.
अवचूरि,avacūri,a gloss,f.
अवचूरिका,avacūrikā,a gloss,f.
अवचूर्ण्,avacūrṇ,"-cUrRayati, (ind.p. -cUrRya) to sprinkle or cover with meal, dust, &c Hariv.",n.
अवचूल,avacūla,See ava-cUqa,
अवचृत्,avacṛt,Pot. -cft/et) to let loose TS.,
अवच्छद्,avacchad,"Cad), -cCAdayati (ind.p. -cCAdya) to cover over, overspread Ka1tyS3r. &c",m.
अवच्छिद्,avacchid,Cid) to refuse any one Ka1d,mfn.
अवच्छुरित,avacchurita,a horse-laugh L.,n.
अवच्छुरितक,avacchuritaka,a horse-laugh L.,n.
अवच्छो,avaccho,"Co), (ind.p. -cCAya) to cut off",mfn.
अवजात,avajāta,misborn (?),mfn.
अवजि,avaji,impf. avAjayat,m.
अवजिह्व,avajihva,tongueless,mfn.
अवजृम्भ्,avajṛmbh,A1. to yawn Car.,
अवज्ञा,avajñā,-jAnAti (ind.p. -jYaya,f.
अवज्युत्,avajyut,Caus,n.
अवज्वल्,avajval,Caus,n.
अवञ्चनता,avañcanatā,honesty,f.
अवट,avaṭa,"a hole, vacuity in the ground SV.",m.
अवड,avaḍa,a kind of field,m.
अवटङ्क,avaṭaṅka,N. of a Pra1kr2itPrakrit poet.,m.
अवटीट,avaṭīṭa,mf(A)n,mf
अवडङ्ग,avaḍaṅga,or avadraNga m,m.
अवद्रङ्ग,avadraṅga,or avaqaNga m,m.
अवडीन,avaḍīna,"qI), the flight of a bird, flying downwards MBh",n.
अवत,avata,See above s.v,
अवतंस,avataṃsa,mn. (ifc. f(A).),mn.
अवतक्षण,avatakṣaṇa,takz),n.
अवतड्,avataḍ,Caus,n.
अवतन्,avatan,-tanoti (ind.p. -tatya) to stretch or extend downwards Kaus3.,mfn.
अवतप्,avatap,"tapati, to radiate heat (or light) downwards AV",mfn.
अवतमस,avatamasa,Pa1n2,n.
अवतरम्,avataram,See 2,
अवतर्पण,avatarpaṇa,tfp),n.
अवतान्त,avatānta,tam),mfn.
अवतुन्न,avatunna,tud),mfn.
अवतूलय,avatūlaya,Nom. P. yati = tUlEr avakuzRAti L.,
अवतृद्,avatṛd,"-tfRatti, to split, make holes through Ka1t2h.",m.
अवतॄ,avatṝ,"cl.1 P. -tarati (perf. -tatAra, 3. pl. -teruH",m.
अवतोका,avatokā,"a woman (or a cow L.) miscarrying from accident AV. viii, 6, 9 and",f.
अवत्क,avatka,"?fr. avat/a q.v.), a little hole (? a remedy NBD.",n.
अवत्त,avatta,and ava-ttin,
अवत्तरम्,avattaram,See av.,
अवत्रस्त,avatrasta,"tras), terrified, Hariv",mfn.
अवत्विष्,avatviṣ,"to glitter, shine L.",
अवत्सर्,avatsar,impf,m.
अवत्सल,avatsala,mf(A)n,mf
अवत्सा,avatsā,"a cow whose calf is dead, Ya1jn5",f.
अवत्सीय,avatsīya,not suitable for a calf,mfn.
अवदंश,avadaṃśa,"any pungent food (which excites thirst), stimulant Hariv.",m.
अवदत्,avadat,not speaking RV,mfn.
अवदत्त,avadatta,"1. dA) Pa1n2. 7-4, 47",mfn.
अवदय्,avaday,"-dayate (1. sg. -daye) to give or pay a sum of money (for the purpose of silencing or keeping one off) AV. xvi, 17, 11",
अवदल्,avadal,-dalati,mfn.
अवदह्,avadah,"impf. 2. sg. /avAdahas) to burn down from , expel from (abl.) with heat or fire RV. i, 33, 7",mfn.
अवदात,avadāta,"das), cleansed, clean, clear Pa1n2. Sch.",mfn.
अवदावद,avadāvada,undisputed,mfn.
अवदिश्,avadiś,Imper,
अवदिह्,avadih,cl.2 P,
अवदीप्,avadīp,p. -dipyamAna) to burst out in a flame A1s3vS3r. : Caus. to kindle Kaus3.,
अवदुह्,avaduh,aor. Subj. A1. 3. sg. -Dukzata) to give milk to (dat.) RV. vi,m.
अवदृश्,avadṛś,Pass,
अवदॄ,avadṝ,"aor. Subj. -darzat RV. ix, 74, 7 Pot. -driRIyAt S3Br.",n.
अवदो,avado,"-dyati (ind.p. -dAya A1s3vGr2. BhP.) Ved. to cut off, divide (especially the sacrificial cake and other objects offered in a sacrifice) S3Br. &c",mfn.
अवदोल,avadola,"swinging, Ragh",m.
अवदोह,avadoha,See ava-duh.,
अवद्य,avadya,"Pa1n2. 3-1, 101) not to be praised , blamable, low, inferior RV. iv, 18, 5 and vi, 15, 12",mfn.
अवद्युत्,avadyut,Caus,mfn.
अवद्रङ्ग,avadraṅga,an earnest (?),
अवद्रङ्ग,avadraṅga,See avaqanga.,
अवद्रै,avadrai,fut. p. -drAsy/at) to fall asleep S3Br. (cf. an-avadrAR/a.,
अवध,avadha,"vaD), not hurting, innoxious, beneficent ([Gmn.",mfn.
अवधम्,avadham,-Damati (said of spirituous liquor) to stir up (as the parts of the body) Car,
अवधर्ष्य,avadharṣya,See an-avaD.,
अवधा,avadhā,P. (aor. 3. pl. -/aDuh RV.,n.
अवधाव्,avadhāv,"-D/Avati to run down drop down from (abl.) RV. i, 162, 11 and",
अवधी,avadhī,impf,
अवधीर्,avadhīr,"ind.p. ava-DIraya) to disregard, disrespect, repudiate S3is3. ix, 59",n.
अवधू,avadhū,"Ved. P. (Imper. 2. sg. -DUnuhi, 2. pl. -DUnutA) to shake off or out or down RV. x, 66, 14 & 134, 3",mfn.
अवधूक,avadhūka,having no wife,mfn.
अवधूपित,avadhūpita,perfumed with incense R,mfn.
अवधूलन,avadhūlana,cf. DUli) scattering over,n.
अवधृ,avadhṛ,Caus. -DArayati (ind.p. DArya,m.
अवधृष्य,avadhṛṣya,See an-avaD.,
अवध्य,avadhya,See a-vaD/a.,
अवध्यै,avadhyai,perf,mfn.
अवध्र,avadhra,See a-vaD/a.,
अवध्वंस्,avadhvaṃs,"A1. (perf. -daDvase) to be scattered or dispersed RV. x, 113, 7",m.
अवन,avana,See av.,
अवनक्ष्,avanakṣ,2. du. -nakzaTas) to overtake any one (gen.) RV. i,
अवनक्षत्र,avanakṣatra,disappearance of the luminaries Kaus3.,n.
अवनम्,avanam,p. -namat,mfn.
अवनर्द्,avanard,Pot. -nardet) to slur or trill (a term applicable to chanting in the Hindu1Hindu ritual) PBr. (cf. ni-nard.,
अवनश्,avanaś,perf,
अवनह्,avanah,ind.p,mfn.
अवनाट,avanāṭa,mf(A)n,mf
अवनि,avani,course,f.
अवनिज्,avanij,ind.p. -nija,mfn.
अवनिनी,avaninī,ind.p. -nIya) to put or bring into (water) S3a1n3khS3r.,
अवनिश्चय,avaniścaya,inference,m.
अवनिष्ठिव्,avaniṣṭhiv,p. -zWIvat) to spit upon Mn. viii,n.
अवनी,avanī,fut. 2. sg. -nezyasi) to lead or bring down into (water) S3Br.,m.
अवनु,avanu,A1. (3. pl. -navante) to move towards (acc.) RV. ix,
अवन्तक,avantaka,pl. N. of a people VarBr2S.,m.
अवन्ध्य,avandhya,mf(A)n,mf
अवपट्,avapaṭ,"ind.p. -pAwya) to split, tear into pieces Sus3r.",f.
अवपत्,avapat,"p. -patat RV. x, 97, 17 ind.p. -patya , see ava-pAta",n.
अवपद्,avapad,"-padyate (Subj. P. -padAti RV. ix, 73, 9",mfn.
अवपन,avapana,not shaving,n.
अवपश्,avapaś,P. -paSyati (2. pl. -paSyata,
अवपाक,avapāka,having no momentum (cf. vap/A) S3Br.,mfn.
अवपात्रित,avapātrita,a person not allowed by his kindred to eat or drink from the same vessel (cf,mfn.
अवपान,avapāna,drinking RV,n.
अवपाशित,avapāśita,"having a snare laid upon, snared R",mfn.
अवपिण्डित,avapiṇḍita,said of dewdrops) fallen down in the shape of little globules (piRqa q.v.) Katha1s.,mfn.
अवपिष्,avapiṣ,ind.p,
अवपीड्,avapīḍ,ind.p,m.
अवपुञ्जित,avapuñjita,collected into small heaps (as sweepings).,mfn.
अवपुथ्,avaputh,Caus. (p. -poTayat,f.
अवपुस्,avapus,bodiless,mfn.
अवपूरण,avapūraṇa,filling or covering with (comp.),n.
अवपूर्ण,avapūrṇa,filled with (m comp.) Hariv. 11993,mfn.
अवपृष्ठीकृत,avapṛṣṭhīkṛta,set on the path of Buddhahood (?),mfn.
अवप्रज्जन,avaprajjana,"pfj), the end of the warp of a web (opposed to 2",n.
अवप्रस्नुत,avaprasnuta,wetted by the fluid excretion (of a bird) Ka1tyS3r.,mfn.
अवप्रस्रुत,avaprasruta,wetted by the fluid excretion (of a bird) Ka1tyS3r.,mfn.
अवप्लु,avaplu,A1. (perf. -pupluve) to jump down (as from a cart) MBh. vii,mfn.
अवबधा,avabadhā,= abaDA q.v.,f.
अवबन्ध्,avabandh,"A1. (ind.p. -baDya) to tie or fix on, put on Kaus3.",mfn.
अवबाढ,avabāḍha,"baMh), digged out, discovered (said of the valag/a q.v.) TS.",mfn.
अवबाध्,avabādh,A1. (1.pl. -bADAmahe,
अवबाहुक,avabāhuka,spasm in the arm Sus3r.,m.
अवबुध्,avabudh,"buDyate (fut. 3. pl. -Botsyante MBh. iii, 1363, rarely P. e.g. -buDyati Hariv. 10385",mfn.
अवब्रव,avabrava,See an-avabrav/a.,
अवभञ्ज्,avabhañj,"ind.p. -Bajga) to break off, smash. MBh.",mfn.
अवभर्जन,avabharjana,Bfj),n.
अवभर्त्स्,avabharts,p. -Bartsayat) to deter by threatening MBh. iii 15096,n.
अवभा,avabhā,"-BAti, to shine downwards RV. i, 154, 6 (v.l. -Bari, fr. ava-Bf VS. vi, 3)",
अवभाषण,avabhāṣaṇa,speaking against,n.
अवभास्,avabhās,"-BAsate, to shine forth, be brilliant MBh.",m.
अवभिद्,avabhid,"impf. 2. sg. -Binat, or -/aBinat or -aBinat",mfn.
अवभुज्,avabhuj,to incurve Kaus3.,mfn.
अवभृ,avabhṛ,"P. (impf. /avABarat, or -Barat, 2. sg. -Baras, Ved. Imper. 2. sg. -BarA) to throw or push or press down or into RV.",f.
अवभ्रट,avabhraṭa,mf(A)n,mf
अवम,avama,mf(/A)n,mf
अवमज्ज्,avamajj,p. f. majjanti) to immerse R. ii,f.
अवमथ्,avamath,ind.p,m.
अवमन्,avaman,"A1. (Pot. -manyeta aor. Subj. 2. sg. maMsTAH, 2.pl. -maDvam Bhat2t2.",mfn.
अवमर्द,avamarda,"&c , see ava-mfd.",
अवमर्श,avamarśa,"&c , see ava- mfS.",
अवमा,avamā,ind.p,
अवमान,avamāna,"&c , see ava-man.",
अवमार्जन,avamārjana,See ava-mfj.,
अवमिह्,avamih,"-mehati, to urine towards or upon (acc.) S3Br.",n.
अवमुच्,avamuc,"P. (p. -muYc/at) to loosen AV. viii, 2, 2",n.
अवमोहन,avamohana,a narcotic,n.
अवमुष्,avamuṣ,to take away Ka1t2h.,
अवमूत्र्,avamūtr,"p. -mUtrayat) to urine upon Mn. viii, 282",n.
अवमूर्छ्,avamūrch,Pot. -mUrCet) to be appeased or allayed (as a quarrel) MBh. v,
अवमूर्धक,avamūrdhaka,with hanging head,mfn.
अवमूर्धशय,avamūrdhaśaya,lying with the head hanging down (g,mfn.
अवमृज्,avamṛj,-mArzwi (ind p. mfjya) to wipe or rub off Comm. on TBr.,n.
अवमृद्,avamṛd,impf. avAmfdnAt,m.
अवमृश्,avamṛś,Pot. -mfS/et,m.
अवय,avaya,See SatAvaya.,
अवयज्,avayaj,P. A1. -y/ajati (Imper. 2. sg. P. -yaja and A1. -yakzva,f.
अवयव,avayava,"&c , see ava-yu.",
अवया,avayā,perf. 3. pl. -yayuH,n.
अवयास,avayāsa,"yas), N",m.
अवयु,avayu,p. fem. -yuvati) to separate from (abl.) Nir. iv,m.
अवयुन,avayuna,"undistinguishable, indistinct, dark RV",mfn.
अवर,avara,"mf(A)n. (fr. 2. /ava), below inferior RV.",mf
अवरङ्गसाह,avaraṅgasāha,= Aurungzeb (a Muhammedan king of the 17th century,
अवरत,avarata,See an-avarata.,f.
अवरम्ब्,avaramb,p. -r/ambamARa) to hang down RV. viii,
अवराध्,avarādh,"aor. 2. sg. -arAtsIs) to commit a fault AV. v, 6, 6",
अवरिफ्,avariph,p. -riPat) to utter a murmuring guttural sound Ka1t2h.,
अवरीण,avarīṇa,See /avara.,
अवरीयस्,avarīyas,N. of a son of the Manumanu Sa1varn2asAvarRa Hariv. 465.,m.
अवरुच्,avaruc,"-r/ocate, to shine down AV",mfn.
अवरुज्,avaruj,ind.p,mfn.
अवरुणम्,avaruṇam,without falling into the power of Varun2avaruRa MaitrS.,ind.
अवरुदित,avarudita,"rud), that upon which tears have fallen MBh",mfn.
अवरुध्,avarudh,"P. (aor. -ruDat) to obstruct, enclose, contain RV. x, 105, 1, (Inf. -rodDum) to check, keep back, restrain R. iii, 1, 33, to expel Kaus3.",f.
अवरुह्,avaruh,P. (p. -r/ohat,mfn.
अवरूप,avarūpa,mf(A)n,mf
अवरोकिन्,avarokin,"&c , see ava-ruc.",
अवर्चस्,avarcas,"having no vigour or energy AV. iv, 22, 3",mfn.
अवर्जनीय,avarjanīya,inevitable,mfn.
अवर्ण,avarṇa,"having no outward appearance S3vetUp., colourless (Comm.",mfn.
अवर्ण,avarṇa,the vowel a or A APra1t.,m.
अवर्तमान,avartamāna,not belonging to the present time,mfn.
अवर्ति,avarti,"fti fr. f), bad fortune, poverty, distress RV.",f.
अवर्तिन्,avartin,behaving improperly,mfn.
अवर्त्र,avartra,"having nothing that restrains , unimpeded RV",mfn.
अवर्धमान,avardhamāna,"not growing , (g",mfn.
अवर्ष,avarṣa,"want of rain, drought MBh. xii, 1208",n.
अवलक्ष,avalakṣa,= bal/akza q.v,mfn.
अवलग्,avalag,Caus,n.
अवलङ्घ्,avalaṅgh,ind.p,mfn.
अवलम्ब्,avalamb,"-lambate (ind.p. -lambya, exceptionally P. e.g. Pot. -lambet MBh. i, 8443 ed. Bomb.) to hang down, glide or slip down, descend TUp. &c",mf
अवलिख्,avalikh,Pot. -liKet ind.p. -liKya) to scratch,m.
अवलित,avalita,not bent or curved,mfn.
अवलिप्,avalip,"P. (ind. -lipya) to smear, KaushBr.",mfn.
अवलिप्स,avalipsa,a kind of amulet,m.
अवलिह्,avalih,P. -leQi (impf. avAlew,mfn.
अवली,avalī,A1. (p. -lIyamAna,mfn.
अवलीला,avalīlā,play,f.
अवलुञ्च्,avaluñc,"ind.p. -luYcya) to tear out (as hairs) MBh. iii, 10760 seqq.",n.
अवलुण्ठन,avaluṇṭhana,luRW),n.
अवलुप्,avalup,P. A1. (3. pl. -lumpanti) to cut or take off TS.,f.
अवलून,avalūna,"lU), cut off L.",mfn.
अवलेख,avalekha,"&c , see ava-likk.",
अवलेप,avalepa,"&c , see ava-lip.",
अवलेह,avaleha,"&c , see ava-lih.",
अवलोक्,avalok,"cl.1 A1. -lokate, to look Sa1h.",m.
अवलोप,avalopa,"&c , see ava-lup.",n.
अवलोभन,avalobhana,See an-aval.,
अवलोम,avaloma,Pa1n2,mfn.
अवल्क,avalka,Gymnema Sylvestre,m.
अवल्गुज,avalguja,the plant Vernonia Anthelminthica Sus3r.,m.
अवल्गुली,avalgulī,N. of a poisonous insect Sus3r.,f.
अववद्,avavad,aor. Subj. 1. pl. -vAdizma) to speak ill of or against (gen.) AitBr. (cf. dur-avavada.,n.
अववर्ति,avavarti,aor. A1. fr. vft q.v.,
अववर्षण,avavarṣaṇa,See ava-vfz.,
अववा,avavā,"-vAti, to blow down RV. x, 60, 11",
अवविद्ध,avaviddha,See ava-vyaD.,
अववी,avavī,"-veti to eat, enjoy RV",
अववृज्,avavṛj,"to disjoin, separate Ka1t2h",
अववृष्,avavṛṣ,p. -v/arzat) Ved. to rain upon VS. xxii,n.
अवव्यध्,avavyadh,"-viDyati, to throw down into (loc.) RV. ix, 73, 8, (opposed to aByA-r/ohati Comm. = pramadyati) to fall or sink down TS.",mfn.
अवविस्रंसित,avavisraṃsita,sraMs,mfn.
अवव्ये,avavye,p. -vy/ayat) to pull off (as clothes) RV. iv,
अवव्रश्च्,avavraśc,Imper. 2. sg. -vriSc/A,m.
अवश,avaśa,mf(A)n,mf
अवशप्त,avaśapta,cursed MBh,mfn.
अवशस्,avaśas,only instr,f.
अवशा,avaśā,"not a cow, a bad cow AV",f.
अवशातन,avaśātana,"Sad, Caus.) , withering, drying up Sus3r.",n.
अवशान्त,avaśānta,Sam) extinguished,mfn.
अवशि,avaśi,Imper,
अवशिरस्,avaśiras,having the head turned down Kaus3.,mfn.
अवशिष्,avaśiṣ,"Pass. -S/izyate, to be left as a remnant, remain TBr.",mfn.
अवशी,avaśī,A1. (3. pl. SIyante,
अवशीत,avaśīta,and -SIna,
अवशुष्,avaśuṣ,"-Szyats, to become dry Va1yuP. ii",
अवशृध्,avaśṛdh,P. -SarDayati,m.
अवशॄ,avaśṝ,impf,mfn.
अवशेष,avaśeṣa,"&c , see ava-Siz.",
अवश्चुत्,avaścut,perf,
अवश्या,avaśyā,SyE),f.
अवश्रथ्,avaśrath,Caus,
अवश्रयण,avaśrayaṇa,Sri),n.
अवश्वसम्,avaśvasam,Ved. Inf. fr. Svas,
अवश्वित्,avaśvit,aor. -aSvEt) to shine down RV. i,
अवषट्कार,avaṣaṭkāra,without the exclamation vazat Ka1tyS3r.,mfn.
अवष्टम्भ्,avaṣṭambh,"stamB), -zwaBnoti (&c Pa1n2. 8-3, 63 seqq.",mfn.
अवष्ठ्यूत,avaṣṭhyūta,spit upon S3Br.,mfn.
अवष्वन्,avaṣvan,"svan), -zvaRati (impf. avAzvaRat",m.
अवस्,avas,"av), favour, furtherance, protection, assistance RV.",n.
